filename,level_1,grapheme,phoneme,filenameFixed,level_1,graphemeFixed,phonemeFixed
1808_-_Frases,35,tropas,'\a\.\l\\i\.\a\.\d\\a\\js\,1808_-_Frases,35,tropas,\a\.\l\\i\'\a\.\d\\a\\js\
1808_-_Frases,35,da,\R\\u\\s\\i\\a\,1808_-_Frases,35,da,'\R\\u\\s\\i\\a\
1808_-_Frases,35,Rússia,'\i\,1808_-_Frases,35,Rússia,\i\
1808_-_Frases,35,da,\a\\u\\s\.\t\\r\\i\\a\,1808_-_Frases,35,da,'\a\\u\\s\.\t\\r\\i\\a\
1808_-_Frases,37,em,\e~j~\.\t\\O\.\d\\u\\z\,1808_-_Frases,37,em,'\e~j~\.\t\\O\.\d\\u\\z\
1808_-_Frases,37,todos,'\u\\s\,1808_-_Frases,37,todos,\u\\s\
1808_-_Frases,37,os,\s\\e\.\u\\s\,1808_-_Frases,37,os,'\s\\e\.\u\\s\
1808_-_Frases,37,seus,'\d\\o\.\m\\i\\n\\i\\u\\s\,1808_-_Frases,37,seus,\d\\o\'\m\\i\\n\\i\\u\\s\
1808_-_Frases,41,em,\e~j~\.\l\\o~\.\d\\r\\i\\s\,1808_-_Frases,41,em,'\e~j~\.\l\\o~\.\d\\r\\i\\s\
1808_-_Frases,57,"Charenton,",\a~\.\n\\u\\s\,1808_-_Frases,57,"Charenton,",'\a~\.\n\\u\\s\
1808_-_Frases,64,Louca.,'\R\\a\.\i~\.\J\\a\,1808_-_Frases,64,Louca.,\R\\a\'\i~\.\J\\a\
1808_-_Frases,65,só,'\s\\O\\o\.\k\\o\.\R\\e\\u\,1808_-_Frases,65,só,\s\\O\\o\.\k\\o\'\R\\e\\u\
1808_-_Frases,65,ocorreu,\d\\o\\j\\z\,1808_-_Frases,65,ocorreu,'\d\\o\\j\\z\
1808_-_Frases,65,anos,\m\\a\\j\\s\,1808_-_Frases,65,anos,'\m\\a\\j\\s\
1808_-_Frases,68,é,\E\\s\\u\.\f\\o\.\k\\a\.\d\\a\,1808_-_Frases,68,é,\E\\s\\u\.\f\\o\'\k\\a\.\d\\a\
1808_-_Frases,68,por,\t\\r\\O\.\p\\a\\js\,1808_-_Frases,68,por,'\t\\r\\O\.\p\\a\\js\
1808_-_Frases,68,tropas,'\dZ\\i\,1808_-_Frases,68,tropas,\dZ\\i\
1808_-_Frases,68,de,\d\\o~\,1808_-_Frases,68,de,'\d\\o~\
1808_-_Frases,68,Dom,'\Z\\o\.\a~\\w~\,1808_-_Frases,68,Dom,\Z\\o\'\a~\\w~\
1808_-_Frases,68,João,\s\\e\\s\'\t\\u\,1808_-_Frases,68,João,'\s\\e\\s\.\t\\u\
1808_-_Frases,68,VI,'\e~j~\.\p\\e\\R\.\n\\a~\.\b\\u\.\k\\u\,1808_-_Frases,68,VI,\e~j~\.\p\\e\\R\'\n\\a~\.\b\\u\.\k\\u\
1808_-_Frases,70,Em,\e~j~\.\l\\o~\.\d\\r\\i\\s\\pau\,1808_-_Frases,70,Em,'\e~j~\.\l\\o~\.\d\\r\\i\\s\\pau\
1808_-_Frases,70,"Londres,",'\m\\a\\R\.\j\,1808_-_Frases,70,"Londres,",\m\\a\\R\.\j\
1808_-_Frases,70,Mary,\S\\E\.\w\\l\\e\\j\,1808_-_Frases,70,Mary,'\S\\E\.\w\\l\\e\\j\
1808_-_Frases,70,Shelley,'\p\\u\.\b\\l\\i\.\k\\a\,1808_-_Frases,70,Shelley,\p\\u\'\b\\l\\i\.\k\\a\
1808_-_Frases,70,publica,\f\\r\\a~\'\k\\e~\\s\.\t\\e\.\i~\,1808_-_Frases,70,publica,\f\\r\\a~\.\k\\e~\\s\.\t\\e\'\i~\
1808_-_Frases,72,em,\e~j~\.\v\\i~\.\tS\\i\,1808_-_Frases,72,em,'\e~j~\.\v\\i~\.\tS\\i\
1808_-_Frases,72,26,'\i\,1808_-_Frases,72,26,\i\
1808_-_Frases,72,dias,\s\\ej\\s\,1808_-_Frases,72,dias,'\s\\ej\\s\
1808_-_Frases,74,a,\v\\O\\w\.\t\\a\,1808_-_Frases,74,a,'\v\\O\\w\.\t\\a\
1808_-_Frases,74,volta,'\dZ\\i\,1808_-_Frases,74,volta,\dZ\\i\
1808_-_Frases,74,de,\d\\o~\,1808_-_Frases,74,de,'\d\\o~\
1808_-_Frases,74,Dom,'\Z\\o\.\a~\\w~\,1808_-_Frases,74,Dom,\Z\\o\'\a~\\w~\
1808_-_Frases,74,João,\s\\e\\s\'\t\\u\,1808_-_Frases,74,João,'\s\\e\\s\.\t\\u\
1808_-_Frases,74,VI,'\a\,1808_-_Frases,74,VI,\a\
1808_-_Frases,74,a,\l\\i\\z\.\b\\o\\a\,1808_-_Frases,74,a,\l\\i\\z\'\b\\o\\a\
1808_-_Frases,81,em,\e~j~\.\s\\a~\\w~\,1808_-_Frases,81,em,'\e~j~\.\s\\a~\\w~\
1808_-_Frases,81,Pedro,'\p\\r\\o\.\k\\l\\a~\.\m\\a\,1808_-_Frases,81,Pedro,\p\\r\\o\'\k\\l\\a~\.\m\\a\
1808_-_Frases,81,a,\i~\.\d\\e\.\p\\e~\.\d\\e~\.\s\\i\\a\,1808_-_Frases,81,a,\i~\.\d\\e\.\p\\e~\'\d\\e~\.\s\\i\\a\
1808_-_Frases,81,do,\b\\r\\a\.\z\\i\\w\,1808_-_Frases,81,do,\b\\r\\a\'\z\\i\\w\
1808_-_Frases,83,o,\R\\e\.\z\\u\\w\.\t\\a\.\d\\u\,1808_-_Frases,83,o,\R\\e\.\z\\u\\w\'\t\\a\.\d\\u\
1808_-_Frases,83,de,\d\\e\\z\,1808_-_Frases,83,de,'\d\\e\\z\
1808_-_Frases,83,anos,'\dZ\\i\,1808_-_Frases,83,anos,\dZ\\i\
1808_-_Frases,83,de,\i~\.\v\\e\\s\.\tS\\i\.\g\\a\.\s\\a~\\w~\,1808_-_Frases,83,de,\i~\.\v\\e\\s\.\tS\\i\.\g\\a\'\s\\a~\\w~\
1808_-_Frases,83,investigação,\Z\\o\\R\.\n\\a\.\l\\i\\s\.\tS\\i\'\k\\a\,1808_-_Frases,83,investigação,\Z\\o\\R\.\n\\a\'\l\\i\\s\.\tS\\i\.\k\\a\
1808_-_Frases,84,É,\E\\t\\a~\.\b\\e~j~\,1808_-_Frases,84,É,\E\\t\\a~\'\b\\e~j~\
1808_-_Frases,84,também,\u~\'\m\\a\,1808_-_Frases,84,também,\u~\.\m\\a\
1808_-_Frases,84,uma,\o\.\m\\e\.\n\\a\.\Z\\e~j~\.\a\,1808_-_Frases,84,uma,\o\.\m\\e\'\n\\a\.\Z\\e~j~\.\a\
1808_-_Frases,84,homenagem,\t\\r\\e\\js\,1808_-_Frases,84,homenagem,'\t\\r\\e\\js\
1808_-_Frases,84,a,\p\\e\.\s\\o\.\a\\js\,1808_-_Frases,84,a,\p\\e\'\s\\o\.\a\\js\
1808_-_Frases,84,cujo,'\e\\s\.\tS\\i\\m\\u\.\l\\u\,1808_-_Frases,84,cujo,\e\\s\'\tS\\i\\m\\u\.\l\\u\
1808_-_Frases,84,estímulo,\o\'\r\\i\.\e~\.\t\\a\.\s\\a~\\w~\,1808_-_Frases,84,estímulo,\o\.\r\\i\.\e~\.\t\\a\'\s\\a~\\w~\
1808_-_Frases,84,e,\f\\O\.\r\\a~\\w~\,1808_-_Frases,84,e,'\f\\O\.\r\\a~\\w~\
1808_-_Frases,84,para,'\e\\u\,1808_-_Frases,84,para,\e\\u\
1808_-_Frases,84,eu,\e\\s\.\k\\r\\e\.\v\\e\.\s\\i\,1808_-_Frases,84,eu,\e\\s\.\k\\r\\e\'\v\\e\.\s\\i\
1808_-_Frases,85,em,\e~j~\.\d\\o\\j\\s\,1808_-_Frases,85,em,'\e~j~\.\d\\o\\j\\s\
1808_-_Frases,85,,'\i\,1808_-_Frases,85,,\i\
1808_-_Frases,85,,\s\\ej\\s\,1808_-_Frases,85,,'\s\\ej\\s\
1808_-_Frases,86,a,\p\\r\\o\.\f\\e\.\s\\o\.\r\\a\,1808_-_Frases,86,a,\p\\r\\o\.\f\\e\'\s\\o\.\r\\a\
1808_-_Frases,86,professora,\i\\s\.\t\\o\'\r\\i\.\a\.\d\\o\.\r\\a\,1808_-_Frases,86,professora,\i\\s\.\t\\o\.\r\\i\.\a\'\d\\o\.\r\\a\
1808_-_Frases,86,historiadora,\m\\a\.\r\\i\.\a\,1808_-_Frases,86,historiadora,\m\\a\'\r\\i\.\a\
1808_-_Frases,86,Odila,\l\\ej\'\tS\\i\,1808_-_Frases,86,Odila,'\l\\ej\.\tS\\i\
1808_-_Frases,86,Leite,'\d\\a\,1808_-_Frases,86,Leite,\d\\a\
1808_-_Frases,86,da,\s\\i\\w\.\v\\a\,1808_-_Frases,86,da,'\s\\i\\w\.\v\\a\
1808_-_Frases,88,Em,\e~j~\.\m\\i\\w\,1808_-_Frases,88,Em,'\e~j~\.\m\\i\\w\
1808_-_Frases,88,"1997,",'\n\\o\.\v\\e\.\s\\e~\.\t\\u\\z\,1808_-_Frases,88,"1997,",\n\\o\.\v\\e\'\s\\e~\.\t\\u\\z\
1808_-_Frases,88,Alvarenga,\n\\o\.\v\\e~\.\t\\a\,1808_-_Frases,88,Alvarenga,\n\\o\'\v\\e~\.\t\\a\
1808_-_Frases,88,diretor,\s\\E\.\tS\\i\\pau\,1808_-_Frases,88,diretor,'\s\\E\.\tS\\i\\pau\
1808_-_Frases,88,redação,'\a\\w\.\v\\a\.\r\\e~\.\g\\a\,1808_-_Frases,88,redação,\a\\w\.\v\\a\'\r\\e~\.\g\\a\
1808_-_Frases,88,da,\e\.\r\\a\,1808_-_Frases,88,da,'\e\.\r\\a\
1808_-_Frases,88,revista,'\dZ\\i\.\r\\e\.\t\\o\\R\,1808_-_Frases,88,revista,\dZ\\i\.\r\\e\'\t\\o\\R\
1808_-_Frases,88,e,\R\\e\.\d\\a\.\s\\a~\\w~\,1808_-_Frases,88,e,\R\\e\.\d\\a\'\s\\a~\\w~\
1808_-_Frases,88,seu,\R\\e\.\v\\i\\s\.\t\\a\,1808_-_Frases,88,seu,\R\\e\'\v\\i\\s\.\t\\a\
1808_-_Frases,88,editor,\v\\e\'\Z\\a\,1808_-_Frases,88,editor,'\v\\e\.\Z\\a\
1808_-_Frases,88,executivo.,'\i\,1808_-_Frases,88,executivo.,\i\
1808_-_Frases,88,,\s\\e\\u\,1808_-_Frases,88,,'\s\\e\\u\
1808_-_Frases,88,,'\e\.\dZ\\i\.\t\\o\\r\,1808_-_Frases,88,,\e\.\dZ\\i\'\t\\o\\r\
1808_-_Frases,88,,\e\.\z\\e\'\k\\u\.\tS\\i\.\v\\u\,1808_-_Frases,88,,\e\.\z\\e\.\k\\u\'\tS\\i\.\v\\u\
1808_-_Frases,89,bem-sucedida,\b\\e~j~\.\s\\u\.\s\\e\.\dZ\\i\.\d\\a\,1808_-_Frases,89,bem-sucedida,\b\\e~j~\.\s\\u\'\s\\e\.\dZ\\i\.\d\\a\
1808_-_Frases,89,comemorações,\k\\o\.\m\\e\.\m\\o\.\r\\a\.\s\\o~\\j~\\s\,1808_-_Frases,89,comemorações,\k\\o\.\m\\e\.\m\\o\.\r\\a\'\s\\o~\\j~\\s\
1808_-_Frases,89,primeiro,\p\\r\\i~\.\m\\ej\.\r\\u\,1808_-_Frases,89,primeiro,\p\\r\\i~\'\m\\ej\.\r\\u\
1808_-_Frases,89,centenário,\s\\e~\'\t\\e\.\n\\a\.\r\\i\\u\,1808_-_Frases,89,centenário,\s\\e~\.\t\\e\'\n\\a\.\r\\i\\u\
1808_-_Frases,89,Proclamação,\p\\r\\o\.\k\\l\\a\.\m\\a\.\s\\a~\\w~\,1808_-_Frases,89,Proclamação,\p\\r\\o\.\k\\l\\a\.\m\\a\'\s\\a~\\w~\
1808_-_Frases,89,"República,",\R\\e\.\p\\u\\b\\l\\i\.\k\\a\\pau\,1808_-_Frases,89,"República,",\R\\e\'\p\\u\\b\\l\\i\.\k\\a\\pau\
1808_-_Frases,89,Tales,\t\\a\'\l\\i\\z\,1808_-_Frases,89,Tales,'\t\\a\.\l\\i\\z\
1808_-_Frases,89,encomendou-me,'\e~\.\k\\o\.\m\\e~\.\d\\ow\,1808_-_Frases,89,encomendou-me,\e~\.\k\\o\.\m\\e~\'\d\\ow\
1808_-_Frases,89,de,\s\\E\\r\\i\,1808_-_Frases,89,de,'\s\\E\\r\\i\
1808_-_Frases,89,especiais,'\dZ\\i\,1808_-_Frases,89,especiais,\dZ\\i\
1808_-_Frases,89,"históricos,",\e\\s\.\p\\e\.\s\\i\.\a\\j\\z\,1808_-_Frases,89,"históricos,",\e\\s\.\p\\e\.\s\\i\'\a\\j\\z\
1808_-_Frases,89,que,\i\\s\.\t\\O\\r\\i\'\k\\u\\s\\pau\,1808_-_Frases,89,que,\i\\s\'\t\\O\\r\\i\.\k\\u\\s\\pau\
1808_-_Frases,89,seriam,'\k\\i\,1808_-_Frases,89,seriam,\k\\i\
1808_-_Frases,89,distribuídos,\s\\e\.\r\\i\.\a~\\w~\,1808_-_Frases,89,distribuídos,\s\\e\'\r\\i\.\a~\\w~\
1808_-_Frases,89,com,'\dZ\\i\\s\.\t\\r\\i\.\b\\u\.\i\\d\\u\\s\,1808_-_Frases,89,com,\dZ\\i\\s\.\t\\r\\i\.\b\\u\'\i\\d\\u\\s\
1808_-_Frases,89,regular,\e\.\dZ\\i\.\s\\a~\\w~\,1808_-_Frases,89,regular,\e\.\dZ\\i\'\s\\a~\\w~\
1808_-_Frases,89,de,\R\\e\'\g\\u\.\l\\a\\R\,1808_-_Frases,89,de,\R\\e\.\g\\u\'\l\\a\\R\
1808_-_Frases,89,como,\v\\e\.\Z\\a\,1808_-_Frases,89,como,'\v\\e\.\Z\\a\
1808_-_Frases,89,brinde,\k\\o~\.\m\\u\,1808_-_Frases,89,brinde,'\k\\o~\.\m\\u\
1808_-_Frases,89,para,\b\\r\\i~\.\dZ\\i\,1808_-_Frases,89,para,'\b\\r\\i~\.\dZ\\i\
1808_-_Frases,89,assinantes,\s\\e\.\u\\z\,1808_-_Frases,89,assinantes,'\s\\e\.\u\\z\
1808_-_Frases,89,e,\a\.\s\\i~\.\n\\a~\.\tS\\i\\z\,1808_-_Frases,89,e,\a\.\s\\i~\'\n\\a~\.\tS\\i\\z\
1808_-_Frases,89,de,\k\\o~\.\p\\r\\a\.\d\\o\.\r\\i\\s\,1808_-_Frases,89,de,\k\\o~\.\p\\r\\a\'\d\\o\.\r\\i\\s\
1808_-_Frases,89,,\b\\a~\.\k\\a\,1808_-_Frases,89,,'\b\\a~\.\k\\a\
1808_-_Frases,91,ano,\a~\.\n\\u\,1808_-_Frases,91,ano,'\a~\.\n\\u\
1808_-_Frases,91,no,\dZ\\i\\s\.\t\\r\\i\'\b\\u\.\i\\d\\u\,1808_-_Frases,91,no,\dZ\\i\\s\.\t\\r\\i\.\b\\u\'\i\\d\\u\
1808_-_Frases,91,Portugal,\e~j~\.\p\\o\\X\.\t\\u\.\g\\a\\w\,1808_-_Frases,91,Portugal,\e~j~\.\p\\o\\X\'\t\\u\.\g\\a\\w\
1808_-_Frases,91,junto,\Z\\u~\.\t\\u\,1808_-_Frases,91,junto,'\Z\\u~\.\t\\u\
1808_-_Frases,91,com,'\k\\o~\,1808_-_Frases,91,com,\k\\o~\
1808_-_Frases,91,revistas,\R\\e\.\v\\i\\s\.\t\\a\\js\,1808_-_Frases,91,revistas,\R\\e\'\v\\i\\s\.\t\\a\\js\
1808_-_Frases,91,Veja,\v\\e\'\Z\\a\,1808_-_Frases,91,Veja,'\v\\e\.\Z\\a\
1808_-_Frases,91,e,'\i\,1808_-_Frases,91,e,\i\
1808_-_Frases,91,"Visão,",\v\\i\.\z\\a~\\w~\\pau\,1808_-_Frases,91,"Visão,",\v\\i\'\z\\a~\\w~\\pau\
1808_-_Frases,91,título,\tS\\i\\t\\u\.\l\\u\,1808_-_Frases,91,título,'\tS\\i\\t\\u\.\l\\u\
1808_-_Frases,91,A,'\a\,1808_-_Frases,91,A,\a\
1808_-_Frases,91,Aventura,\a\.\v\\e~\.\t\\u\.\r\\a\,1808_-_Frases,91,Aventura,\a\.\v\\e~\'\t\\u\.\r\\a\
1808_-_Frases,91,Descobrimento.,\d\\e\\s\.\k\\o\.\b\\r\\i~\.\m\\e~\.\t\\u\,1808_-_Frases,91,Descobrimento.,\d\\e\\s\.\k\\o\.\b\\r\\i~\'\m\\e~\.\t\\u\
1808_-_Frases,92,uma,\R\\e\.\p\\o\\X\'\t\\a\.\Z\\e~j~\.\s\\e\.\Z\\a\,1808_-_Frases,92,uma,'\R\\e\.\p\\o\\X\.\t\\a\.\Z\\e~j~\.\s\\e\.\Z\\a\
1808_-_Frases,92,reportagem,'\p\\u\.\b\\l\\i\.\k\\a\.\d\\a\,1808_-_Frases,92,reportagem,\p\\u\.\b\\l\\i\'\k\\a\.\d\\a\
1808_-_Frases,93,em,\e~j~\.\f\\r\\e~\.\tS\\i\\pau\,1808_-_Frases,93,em,'\e~j~\.\f\\r\\e~\.\tS\\i\\pau\
1808_-_Frases,93,"frente,",'\m\\o\.\v\\i\.\d\\u\,1808_-_Frases,93,"frente,",\m\\o\'\v\\i\.\d\\u\
1808_-_Frases,93,movido,\p\\e\'\l\\a\,1808_-_Frases,93,movido,'\p\\e\.\l\\a\
1808_-_Frases,93,pela,'\p\\a\\j\.\S\\a~\\w~\,1808_-_Frases,93,pela,\p\\a\\j\'\S\\a~\\w~\
1808_-_Frases,93,o,\t\\e~\.\m\\a\,1808_-_Frases,93,o,'\t\\e~\.\m\\a\
1808_-_Frases,93,tema,'\i\,1808_-_Frases,93,tema,\i\
1808_-_Frases,93,os,\p\\e\\X\.\s\\o\.\n\\a\.\Z\\e~\\s\,1808_-_Frases,93,os,\p\\e\\X\.\s\\o\'\n\\a\.\Z\\e~\\s\
1808_-_Frases,93,me,\d\\e\\s\.\p\\e\\X\.\t\\a\.\r\\a~\\w~\,1808_-_Frases,93,me,\d\\e\\s\.\p\\e\\X\'\t\\a\.\r\\a~\\w~\
1808_-_Frases,94,tão,\e~j~\.\l\\u\.\g\\a\.\r\\i\\s\,1808_-_Frases,94,tão,\e~j~\'\l\\u\.\g\\a\.\r\\i\\s\
1808_-_Frases,94,variados,\t\\a~\\w~\,1808_-_Frases,94,variados,'\t\\a~\\w~\
1808_-_Frases,94,quanto,'\v\\a\.\r\\i\.\a\.\d\\u\\s\,1808_-_Frases,94,quanto,\v\\a\.\r\\i\'\a\.\d\\u\\s\
1808_-_Frases,94,as,\k\\u\\a~\'\t\\u\,1808_-_Frases,94,as,'\k\\u\\a~\.\t\\u\
1808_-_Frases,94,bibliotecas,'\a\\js\,1808_-_Frases,94,bibliotecas,\a\\js\
1808_-_Frases,94,do,\b\\i\.\b\\l\\i\\o\.\t\\E\.\k\\a\\js\,1808_-_Frases,94,do,\b\\i\.\b\\l\\i\\o\'\t\\E\.\k\\a\\js\
1808_-_Frases,94,José,\a\.\k\\a\.\d\\e\.\m\\i\.\k\\u\,1808_-_Frases,94,José,\a\.\k\\a\'\d\\e\.\m\\i\.\k\\u\
1808_-_Frases,94,"Mindlin,",\Z\\o\.\z\\E\\m\\i~\'\d\\l\\i~\\pau\,1808_-_Frases,94,"Mindlin,",\Z\\o\'\z\\E\\m\\i~\.\d\\l\\i~\\pau\
1808_-_Frases,94,em,\e~j~\'\s\\a~\\w~\,1808_-_Frases,94,em,'\e~j~\.\s\\a~\\w~\
1808_-_Frases,94,São,\p\\a\\u\'\l\\u\\pau\,1808_-_Frases,94,São,'\p\\a\\u\.\l\\u\\pau\
1808_-_Frases,94,"Paulo,",\n\\a\.\s\\i\.\o\.\n\\a\\w\,1808_-_Frases,94,"Paulo,",\n\\a\.\s\\i\.\o\'\n\\a\\w\
1808_-_Frases,94,Nacional,'\d\\u\,1808_-_Frases,94,Nacional,\d\\u\
1808_-_Frases,94,de,\Z\\a\.\n\\ej\.\r\\u\\pau\,1808_-_Frases,94,de,\Z\\a\'\n\\ej\.\r\\u\\pau\
1808_-_Frases,94,"Janeiro,",'\n\\a\.\s\\i\.\o\.\n\\a\\w\,1808_-_Frases,94,"Janeiro,",\n\\a\.\s\\i\.\o\'\n\\a\\w\
1808_-_Frases,94,"Ajuda,",\e~j~\.\l\\i\\z\.\b\\o\\a\\pau\,1808_-_Frases,94,"Ajuda,",\e~j~\'\l\\i\\z\.\b\\o\\a\\pau\
1808_-_Frases,94,e,\k\\o~\.\g\\r\\E\.\s\\u\,1808_-_Frases,94,e,\k\\o~\'\g\\r\\E\.\s\\u\
1808_-_Frases,94,do,\a\'\m\\e\.\r\\i\.\k\\a~\.\n\\u\\pau\,1808_-_Frases,94,do,\a\.\m\\e\.\r\\i\'\k\\a~\.\n\\u\\pau\
1808_-_Frases,94,Congresso,\e~j~\.\w\\a\\S\\i~\.\g\\t\\o~\,1808_-_Frases,94,Congresso,\e~j~\.\w\\a\\S\\i~\'\g\\t\\o~\
1808_-_Frases,96,em,\e~j~\.\s\\a~\\w~\,1808_-_Frases,96,em,'\e~j~\.\s\\a~\\w~\
