,grapheme,phoneme,filename
11,Guarde,'\g\\u\\a\\R\.\dZ\\i\,Amor_de_Gato_-_Frases
11,sua,'\s\\u\.\a\,Amor_de_Gato_-_Frases
11,energia,\e\.\n\\e\\R\'\Z\\i\.\a\,Amor_de_Gato_-_Frases
11,quando,'\k\\u\\a~\.\d\\u\,Amor_de_Gato_-_Frases
11,ela,'\E\.\l\\a\,Amor_de_Gato_-_Frases
11,for,'\f\\o\\R\,Amor_de_Gato_-_Frases
11,necessária.,\n\\e\.\s\\e\'\s\\a\.\r\\i\\a\,Amor_de_Gato_-_Frases
12,Façaa,\f\\a\'\s\\a\.\a\,Amor_de_Gato_-_Frases
12,avaliação,\a\.\v\\a\.\l\\i\.\a\'\s\\a~\\w~\,Amor_de_Gato_-_Frases
12,física,'\f\\i\\s\\i\.\k\\a\,Amor_de_Gato_-_Frases
12,pelo,'\p\\e\.\l\\u\,Amor_de_Gato_-_Frases
12,menos,'\m\\e~\.\n\\u\\z\,Amor_de_Gato_-_Frases
12,vez,'\v\\e\\s\,Amor_de_Gato_-_Frases
12,por,\p\\o\\r\,Amor_de_Gato_-_Frases
12,ano.,'\a~\.\n\\u\,Amor_de_Gato_-_Frases
13,Siga,'\s\\i\.\g\\a\,Amor_de_Gato_-_Frases
13,seus,'\s\\e\.\u\\z\,Amor_de_Gato_-_Frases
13,instintos.,\i~\\s\'\tS\\i~\.\t\\u\\s\,Amor_de_Gato_-_Frases
14,A,\a\,Amor_de_Gato_-_Frases
14,melhor,\m\\e\'\L\\O\\X\,Amor_de_Gato_-_Frases
14,cura,'\k\\u\.\r\\a\,Amor_de_Gato_-_Frases
14,insonia,\i~\.\s\\o\'\n\\i\.\a\,Amor_de_Gato_-_Frases
14,dormir.,\d\\o\\R\'\m\\i\\X\,Amor_de_Gato_-_Frases
15,Beba,'\b\\E\.\b\\a\,Amor_de_Gato_-_Frases
15,bastante,\b\\a\\s\'\t\\a~\.\tS\\i\,Amor_de_Gato_-_Frases
15,água.,'\a\.\g\\u\\a\,Amor_de_Gato_-_Frases
16,Coce,'\k\\O\.\s\\i\,Amor_de_Gato_-_Frases
16,onde,'\o~\.\dZ\\i\,Amor_de_Gato_-_Frases
16,estiver,\e\\s\.\tS\\i\'\v\\e\\r\,Amor_de_Gato_-_Frases
16,incomodando.,\i~\.\k\\o\.\m\\o\'\d\\a~\.\d\\u\,Amor_de_Gato_-_Frases
17,Quando,'\k\\u\\a~\.\d\\u\,Amor_de_Gato_-_Frases
17,tiver,\tS\\i\'\v\\e\\R\,Amor_de_Gato_-_Frases
17,fazer,\f\\a\'\z\\e\\r\,Amor_de_Gato_-_Frases
17,alguma,\a\\w\'\g\\u~\.\m\\a\,Amor_de_Gato_-_Frases
17,"coisa,",'\k\\o\\j\.\z\\a\\pau\,Amor_de_Gato_-_Frases
17,faça.,'\f\\a\.\s\\a\,Amor_de_Gato_-_Frases
18,Tome,'\t\\o~\.\m\\i\,Amor_de_Gato_-_Frases
18,cuidado,\k\\u\\i\'\d\\a\.\d\\u\,Amor_de_Gato_-_Frases
18,no,\n\\u\,Amor_de_Gato_-_Frases
18,trânsito!,'\t\\r\\a~\.\z\\i\.\t\\u\,Amor_de_Gato_-_Frases
19,dieta,\dZ\\i\'\E\.\t\\a\,Amor_de_Gato_-_Frases
19,balanceada.,\b\\a\.\l\\a~\.\s\\e\'\a\.\d\\a\,Amor_de_Gato_-_Frases
20,Muitas,'\m\\u\\j~\.\t\\a\\js\,Amor_de_Gato_-_Frases
20,vezes,'\v\\E\.\z\\i\\z\,Amor_de_Gato_-_Frases
20,gente,'\Z\\e~\.\tS\\i\,Amor_de_Gato_-_Frases
20,só,\s\\O\\p\\r\\e\'\s\\i\.\z\\a\,Amor_de_Gato_-_Frases
20,precisa,\dZ\\i\,Amor_de_Gato_-_Frases
20,de,\u~\,Amor_de_Gato_-_Frases
20,um,'\p\\ow\.\k\\u\,Amor_de_Gato_-_Frases
20,pouco,\dZ\\i\,Amor_de_Gato_-_Frases
20,de,\k\\o~\.\f\\i\'\a~\.\s\\a\,Amor_de_Gato_-_Frases
20,confiança.,,Amor_de_Gato_-_Frases
21,Mostre-se,'\m\\O\\s\.\t\\r\\i\,Amor_de_Gato_-_Frases
21,feliz,\s\\i\,Amor_de_Gato_-_Frases
21,ao,\f\\e\'\l\\i\\z\,Amor_de_Gato_-_Frases
21,ser,\a\\w\,Amor_de_Gato_-_Frases
21,bem-tratado.,'\s\\e\\R\,Amor_de_Gato_-_Frases
21,,\b\\e~j~\'\t\\r\\a\.\t\\a\.\d\\u\,Amor_de_Gato_-_Frases
22,dá,'\d\\a\,Amor_de_Gato_-_Frases
22,ficar,\f\\i\'\k\\a\\r\,Amor_de_Gato_-_Frases
22,em,'\e~j~\.\s\\i~\.\m\\a\,Amor_de_Gato_-_Frases
22,cima,\d\\u\,Amor_de_Gato_-_Frases
22,do,'\m\\u\.\r\\u\,Amor_de_Gato_-_Frases
22,muro,\u\,Amor_de_Gato_-_Frases
22,o,'\t\\e~\.\p\\u\,Amor_de_Gato_-_Frases
22,tempo,'\t\\O\.\d\\u\,Amor_de_Gato_-_Frases
22,todo.,,Amor_de_Gato_-_Frases
23,Lave,'\l\\a\.\v\\i\,Amor_de_Gato_-_Frases
23,as,\a\\js\,Amor_de_Gato_-_Frases
23,Mãos,'\m\\a~\\w~\\z\,Amor_de_Gato_-_Frases
23,antes,'\a~\.\tS\\i\\s\,Amor_de_Gato_-_Frases
23,jantar.,\Z\\a~\'\t\\a\\X\,Amor_de_Gato_-_Frases
24,Convivência,\k\\o~\.\v\\i\'\v\\e~\.\s\\i\\a\,Amor_de_Gato_-_Frases
24,os,\u\\z\,Amor_de_Gato_-_Frases
24,Outros,'\ow\.\t\\r\\u\\s\,Amor_de_Gato_-_Frases
25,hesite,\e\'\z\\i\.\tS\\i\,Amor_de_Gato_-_Frases
25,em,\e~j~\.\d\\e\'\m\\o~\\s\.\t\\r\\a\\X\,Amor_de_Gato_-_Frases
25,demonstrar,\k\\a\'\r\\i~\.\J\\u\,Amor_de_Gato_-_Frases
25,carinho,\a\,Amor_de_Gato_-_Frases
25,a,'\k\\e~\\m\,Amor_de_Gato_-_Frases
25,quem,\v\\o\'\s\\e\,Amor_de_Gato_-_Frases
25,você,'\a~\.\m\\a\,Amor_de_Gato_-_Frases
25,ama.,,Amor_de_Gato_-_Frases
26,É,\E\\b\\o~\,Amor_de_Gato_-_Frases
26,bom,'\s\\e\\R\,Amor_de_Gato_-_Frases
26,ser,\m\\i~\'\m\\a\.\d\\u\,Amor_de_Gato_-_Frases
26,mimado.,,Amor_de_Gato_-_Frases
27,Nunca,'\n\\u~\.\k\\a\,Amor_de_Gato_-_Frases
27,subestime,\s\\u\.\b\\e\\s\'\tS\\i~\.\m\\i\,Amor_de_Gato_-_Frases
27,poder,\p\\o\'\d\\e\\R\,Amor_de_Gato_-_Frases
27,ronrom.,\R\\o~\'\R\\o~\,Amor_de_Gato_-_Frases
28,poderia,\p\\o\.\d\\e\'\r\\i\.\a\,Amor_de_Gato_-_Frases
28,ser,'\s\\e\\r\,Amor_de_Gato_-_Frases
28,pouco,'\p\\ow\.\k\\u\,Amor_de_Gato_-_Frases
28,gentil.,\Z\\e~\'\tS\\i\\w\,Amor_de_Gato_-_Frases
29,Reserve,\R\\e\'\z\\E\\R\.\v\\i\,Amor_de_Gato_-_Frases
29,algum,\a\\w\'\g\\u~\,Amor_de_Gato_-_Frases
29,tempo,'\t\\e~\.\p\\u\,Amor_de_Gato_-_Frases
29,brincar,\b\\r\\i~\'\k\\a\\X\,Amor_de_Gato_-_Frases
29,aqueles,\a\'\k\\e\.\l\\i\\z\,Amor_de_Gato_-_Frases
29,ama.,'\a~\.\m\\a\,Amor_de_Gato_-_Frases
30,Dê,'\d\\e\,Amor_de_Gato_-_Frases
30,atenção,\a\.\t\\e~\'\s\\a~\\w~\,Amor_de_Gato_-_Frases
30,pessoa,\p\\e\'\s\\o\\a\,Amor_de_Gato_-_Frases
30,cada,'\k\\a\.\d\\a\,Amor_de_Gato_-_Frases
30,vez.,'\v\\e\\js\,Amor_de_Gato_-_Frases
31,alguém,\a\\w\'\g\\e~j~\,Amor_de_Gato_-_Frases
31,oferecer,\o\.\f\\e\.\r\\e\'\s\\e\\X\,Amor_de_Gato_-_Frases
31,coçar,\k\\o\'\s\\a\\X\,Amor_de_Gato_-_Frases
31,suas,'\s\\u\.\a\\js\,Amor_de_Gato_-_Frases
31,"costas,",'\k\\O\\s\.\t\\a\\js\\pau\,Amor_de_Gato_-_Frases
31,aceite.,\a\'\s\\ej\.\tS\\i\,Amor_de_Gato_-_Frases
32,Agradeça,\a\.\g\\r\\a\'\d\\e\.\s\\a\,Amor_de_Gato_-_Frases
32,fato,'\f\\a\.\t\\u\,Amor_de_Gato_-_Frases
32,tomaram,\t\\o\'\m\\a\.\r\\a~\\w~\,Amor_de_Gato_-_Frases
32,conta,'\k\\o~\.\t\\a\,Amor_de_Gato_-_Frases
32,era,'\e\.\r\\a\,Amor_de_Gato_-_Frases
32,pequeno,\p\\e\'\k\\e~\.\n\\u\,Amor_de_Gato_-_Frases
32,demais,\d\\e\'\m\\a\\j\\s\,Amor_de_Gato_-_Frases
32,defender,\d\\e\.\f\\e~\'\d\\e\\X\,Amor_de_Gato_-_Frases
32,sozinho.,\s\\o\'\z\\i~\.\J\\u\,Amor_de_Gato_-_Frases
33,Faça,'\f\\a\.\s\\a\,Amor_de_Gato_-_Frases
33,alguem,\a\\w\'\g\\e~j~\.\s\\i\,Amor_de_Gato_-_Frases
33,se,\s\\e~\'\tS\\i\\R\,Amor_de_Gato_-_Frases
33,sentir,\m\\e\'\L\\o\\R\,Amor_de_Gato_-_Frases
33,melhor,\m\\o\\s\'\t\\r\\a~\.\d\\u\,Amor_de_Gato_-_Frases
33,mostrando,\R\\e\.\s\\e\\p\.\tS\\i\.\v\\i\'\d\\a\.\dZ\\i\,Amor_de_Gato_-_Frases
33,receptividade.,,Amor_de_Gato_-_Frases
34,Olhe,'\O\.\L\\i\,Amor_de_Gato_-_Frases
34,direto,\dZ\\i\'\r\\E\.\t\\u\,Amor_de_Gato_-_Frases
34,nos,\n\\u\\z\,Amor_de_Gato_-_Frases
34,olhos,'\O\.\L\\u\\s\,Amor_de_Gato_-_Frases
34,quiser,\k\\i\'\z\\e\\r\,Amor_de_Gato_-_Frases
34,coisa.,'\k\\o\\j\.\z\\a\,Amor_de_Gato_-_Frases
35,é,\E\\p\\r\\e\'\s\\i\.\z\\u\,Amor_de_Gato_-_Frases
35,preciso,\u~\,Amor_de_Gato_-_Frases
35,um,'\a~\.\p\\l\\u\,Amor_de_Gato_-_Frases
35,amplo,\v\\o\.\k\\a\.\b\\u\'\l\\a\.\r\\i\\u\,Amor_de_Gato_-_Frases
35,vocabulário,'\p\\a\.\r\\a\,Amor_de_Gato_-_Frases
35,para,\e\\s\'\p\\o\\X\,Amor_de_Gato_-_Frases
35,expor,'\s\\u\.\a\\js\,Amor_de_Gato_-_Frases
35,suas,\i\.\d\\e\'\j\\a\\js\,Amor_de_Gato_-_Frases
35,ideias.,,Amor_de_Gato_-_Frases
36,Temos,'\t\\e~\.\m\\u\\s\,Amor_de_Gato_-_Frases
36,aprender,\a\.\p\\r\\e~\'\d\\e\\r\,Amor_de_Gato_-_Frases
36,confiar,\k\\o~\.\f\\i\'\a\\R\,Amor_de_Gato_-_Frases
36,outros.,'\ow\.\t\\r\\u\\s\,Amor_de_Gato_-_Frases
37,paciência,\p\\a\.\s\\i\'\e~\.\s\\i\\a\,Amor_de_Gato_-_Frases
37,pessoas,\p\\e\'\s\\o\.\a\\js\,Amor_de_Gato_-_Frases
37,enfadonhas.,\e~\.\f\\a\'\d\\o~\.\J\\a\\js\,Amor_de_Gato_-_Frases
38,Deixe,'\d\\ej\.\S\\i\,Amor_de_Gato_-_Frases
38,claro,'\k\\l\\a\.\r\\u\,Amor_de_Gato_-_Frases
38,não,'\n\\a~\\w~\,Amor_de_Gato_-_Frases
38,é,\E\\p\\r\\o\.\p\\r\\i\\e\'\d\\a\.\dZ\\i\,Amor_de_Gato_-_Frases
38,propriedade,\dZ\\i\,Amor_de_Gato_-_Frases
38,de,\n\\i~\'\g\\e~j~\,Amor_de_Gato_-_Frases
38,ninguém.,,Amor_de_Gato_-_Frases
39,Desfrute,\d\\e\\s\'\f\\r\\u\.\tS\\i\,Amor_de_Gato_-_Frases
39,companhia,\k\\o~\.\p\\a\'\J\\i\.\a\,Amor_de_Gato_-_Frases
39,das,\d\\a\\js\,Amor_de_Gato_-_Frases
39,crianças...,\k\\r\\i\'\a~\.\s\\a\\js\\pau\\pau\\pau\,Amor_de_Gato_-_Frases
39,e,\i\\d\\u\\z\\i\\d\\O\\z\\u\\s\,Amor_de_Gato_-_Frases
39,dos,,Amor_de_Gato_-_Frases
39,idosos.,,Amor_de_Gato_-_Frases
40,Voce,'\v\\O\.\s\\i\,Amor_de_Gato_-_Frases
40,precisa,\p\\r\\e\'\s\\i\.\z\\a\,Amor_de_Gato_-_Frases
40,ser,'\s\\e\\R\\i\.\k\\u\\pau\,Amor_de_Gato_-_Frases
40,"rico,",\f\\a\'\m\\o\.\z\\u\,Amor_de_Gato_-_Frases
40,famoso,\ow\,Amor_de_Gato_-_Frases
40,ou,\p\\o\.\d\\e\'\r\\o\.\z\\u\,Amor_de_Gato_-_Frases
40,poderoso,'\p\\a\.\r\\a\,Amor_de_Gato_-_Frases
40,para,'\s\\e\\r\,Amor_de_Gato_-_Frases
40,ser,\a\'\m\\a\.\d\\u\,Amor_de_Gato_-_Frases
40,amado.,,Amor_de_Gato_-_Frases
41,Aguarde,\a\'\g\\u\\a\\R\.\dZ\\i\,Amor_de_Gato_-_Frases
41,expectativa,\e\\s\.\p\\e\\k\.\t\\a\'\tS\\i\.\v\\a\,Amor_de_Gato_-_Frases
41,chegada,\S\\e\'\g\\a\.\d\\a\,Amor_de_Gato_-_Frases
42,Fique,'\f\\i\.\k\\i\,Amor_de_Gato_-_Frases
42,olho,'\o\\L\\u\,Amor_de_Gato_-_Frases
42,nos,\n\\u\\s\,Amor_de_Gato_-_Frases
42,inimigos...,\i~\.\n\\i~\'\m\\i\.\g\\u\\s\\pau\\pau\\pau\,Amor_de_Gato_-_Frases
42,e,\i\\k\\o~\\f\\i\\n\\u\\z\\a\\m\\i\\g\\u\\s\,Amor_de_Gato_-_Frases
42,confie,,Amor_de_Gato_-_Frases
42,nos,,Amor_de_Gato_-_Frases
42,amigos.,,Amor_de_Gato_-_Frases
43,seja,'\s\\e\.\Z\\a\,Amor_de_Gato_-_Frases
43,crítico,'\k\\r\\i\\tS\\i\.\k\\u\,Amor_de_Gato_-_Frases
43,os,\u\\s\,Amor_de_Gato_-_Frases
43,colegas.,\k\\o\'\l\\E\.\g\\a\\js\,Amor_de_Gato_-_Frases
44,Partilhe,\p\\a\\X\'\tS\\i\.\L\\i\,Amor_de_Gato_-_Frases
44,possui,\p\\o\.\s\\u\'\i\,Amor_de_Gato_-_Frases
45,Valorize,\v\\a\.\l\\o\'\r\\i\.\z\\i\,Amor_de_Gato_-_Frases
45,ouvir.,\ow\'\v\\i\\X\,Amor_de_Gato_-_Frases
46,Sinta-se,'\s\\i~\.\t\\a\,Amor_de_Gato_-_Frases
46,reconfortado,\s\\i\,Amor_de_Gato_-_Frases
46,com,\R\\e\.\k\\o~\.\f\\o\\X\'\t\\a\.\d\\u\,Amor_de_Gato_-_Frases
46,as,\k\\o~\,Amor_de_Gato_-_Frases
46,gentilezas,\a\\js\,Amor_de_Gato_-_Frases
46,de,\Z\\e~\.\tS\\i\'\l\\E\.\z\\a\\js\,Amor_de_Gato_-_Frases
46,estranhos.,\dZ\\i\,Amor_de_Gato_-_Frases
46,,\e\\s\'\t\\r\\a~\.\J\\u\\s\,Amor_de_Gato_-_Frases
47,confiança,\k\\o~\.\f\\i\'\a~\.\s\\a\,Amor_de_Gato_-_Frases
47,é,\E\\i~\.\g\\r\\e\.\dZ\\i\'\e~\.\tS\\i\,Amor_de_Gato_-_Frases
47,ingrediente,'\b\\a\.\s\\i\.\k\\u\,Amor_de_Gato_-_Frases
47,básico,'\n\\u~\.\m\\a\,Amor_de_Gato_-_Frases
47,numa,\R\\e\.\l\\a\'\s\\a~\\w~\,Amor_de_Gato_-_Frases
47,relação,\dZ\\i\,Amor_de_Gato_-_Frases
47,de,\a\'\m\\o\\X\,Amor_de_Gato_-_Frases
47,amor.,,Amor_de_Gato_-_Frases
48,companheirismo,\k\\o~\.\p\\a\.\J\\e\\j\'\r\\i\\z\.\m\\u\,Amor_de_Gato_-_Frases
48,prioridade.,\p\\r\\i\.\o\.\r\\i\'\d\\a\.\dZ\\i\,Amor_de_Gato_-_Frases
49,mexa,'\m\\E\.\S\\a\,Amor_de_Gato_-_Frases
49,pode,'\p\\O\.\dZ\\i\,Amor_de_Gato_-_Frases
49,defender.,\d\\e\.\f\\e~\'\d\\e\\X\,Amor_de_Gato_-_Frases
50,Ninguém,\n\\i~\'\g\\e~j~\,Amor_de_Gato_-_Frases
50,é,\E\\t\\a~\\w~\,Amor_de_Gato_-_Frases
50,tão,\k\\o~\.\p\\r\\e\.\e~\'\s\\i\.\v\\u\,Amor_de_Gato_-_Frases
50,compreensivo,'\k\\u\\a~\.\t\\u\,Amor_de_Gato_-_Frases
50,quanto,'\s\\u\.\a\,Amor_de_Gato_-_Frases
50,sua,'\m\\a~\\j~\,Amor_de_Gato_-_Frases
50,mãe.,,Amor_de_Gato_-_Frases
51,Peça,'\p\\e\.\s\\a\,Amor_de_Gato_-_Frases
51,licença,\l\\i\'\s\\e~\.\s\\a\,Amor_de_Gato_-_Frases
51,mexer,\m\\e\'\S\\e\\R\,Amor_de_Gato_-_Frases
51,nas,\n\\a\\js\,Amor_de_Gato_-_Frases
51,coisas,'\k\\o\\j\.\z\\a\\js\,Amor_de_Gato_-_Frases
51,dos,\d\\u\\z\,Amor_de_Gato_-_Frases
52,Auto-Estima,'\a\\u\.\t\\u\,Amor_de_Gato_-_Frases
52,,\e\\s\'\tS\\i~\.\m\\a\,Amor_de_Gato_-_Frases
53,Sua,'\s\\u\.\a\,Amor_de_Gato_-_Frases
53,reputaçao,\R\\e\.\p\\u\.\t\\a\'\s\\a\\w\,Amor_de_Gato_-_Frases
53,vai,'\v\\a\\j\,Amor_de_Gato_-_Frases
53,melhorar,\m\\e\.\L\\o\'\r\\a\\X\,Amor_de_Gato_-_Frases
53,for,'\f\\o\\r\,Amor_de_Gato_-_Frases
53,misterioso.,\m\\i\\s\.\t\\e\.\r\\i\'\o\.\z\\u\,Amor_de_Gato_-_Frases
54,souber,\s\\ow\.\b\\e\\R\\e\'\k\\u\.\a\\X\,Amor_de_Gato_-_Frases
54,recuar,\s\\e~j~\'\s\\a\.\j\\R\,Amor_de_Gato_-_Frases
54,sem,\d\\u\,Amor_de_Gato_-_Frases
54,sair,\l\\u\'\g\\a\\X\\pau\,Amor_de_Gato_-_Frases
54,do,\u\\s\,Amor_de_Gato_-_Frases
54,"lugar,",\v\\a\.\l\\e~\'\t\\o~\\j~\\s\,Amor_de_Gato_-_Frases
54,os,\d\\e\\j\.\S\\a\'\r\\a~\\w~\,Amor_de_Gato_-_Frases
54,valentões,\dZ\\i\,Amor_de_Gato_-_Frases
54,deixarão,,Amor_de_Gato_-_Frases
54,de,,Amor_de_Gato_-_Frases
54,incomodá-lo.,,Amor_de_Gato_-_Frases
55,Fugir,\f\\u\'\Z\\i\\R\,Amor_de_Gato_-_Frases
55,luta,'\l\\u\.\t\\a\,Amor_de_Gato_-_Frases
55,ser,'\s\\e\\X\,Amor_de_Gato_-_Frases
55,sinal,\s\\i~\'\n\\a\\w\,Amor_de_Gato_-_Frases
55,"inteligência,",\i~\.\t\\e\.\l\\i\'\Z\\e~\.\s\\i\\a\\pau\,Amor_de_Gato_-_Frases
55,covardia.,\k\\o\.\v\\a\\R\'\dZ\\i\.\a\,Amor_de_Gato_-_Frases
56,atingir,\a\.\tS\\i~\'\Z\\i\\r\,Amor_de_Gato_-_Frases
56,lugar,\l\\u\'\g\\a\\R\,Amor_de_Gato_-_Frases
56,mais,'\m\\a\\j\\z\,Amor_de_Gato_-_Frases
56,"alto,",'\a\\w\.\t\\u\\pau\,Amor_de_Gato_-_Frases
56,acredite,\a\.\k\\r\\e\'\dZ\\i\.\tS\\i\,Amor_de_Gato_-_Frases
56,em,'\e~j~\.\s\\u\.\a\,Amor_de_Gato_-_Frases
56,sua,\k\\a\.\p\\a\.\s\\i\'\d\\a\.\dZ\\i\,Amor_de_Gato_-_Frases
56,capacidade,\dZ\\i\,Amor_de_Gato_-_Frases
56,alcancá-lo.,,Amor_de_Gato_-_Frases
57,ócio,'\O\\s\\i\\u\,Amor_de_Gato_-_Frases
57,sofisticado,\s\\o\.\f\\i\\s\.\tS\\i\'\k\\a\.\d\\u\,Amor_de_Gato_-_Frases
57,ocorre,\o\'\k\\O\.\R\\i\,Amor_de_Gato_-_Frases
57,naturalmente;,\n\\a\.\t\\u\.\r\\a\\w\'\m\\e~\.\tS\\i\\pau\,Amor_de_Gato_-_Frases
57,,\E\\n\\e\.\s\\e\'\s\\a\.\r\\i\\u\,Amor_de_Gato_-_Frases
57,é,\s\\a\'\b\\e\\X\,Amor_de_Gato_-_Frases
57,necessário,,Amor_de_Gato_-_Frases
57,saber,,Amor_de_Gato_-_Frases
57,cultivá-lo.,,Amor_de_Gato_-_Frases
58,Mesmo,'\m\\e\\z\.\m\\u\,Amor_de_Gato_-_Frases
58,saiba,'\s\\a\\j\.\b\\a\,Amor_de_Gato_-_Frases
58,é,\E\\s\\u\.\p\\e\.\r\\i\'\o\\r\,Amor_de_Gato_-_Frases
58,superior,\a\,Amor_de_Gato_-_Frases
58,a,'\t\\O\.\d\\u\\s\,Amor_de_Gato_-_Frases
58,todos,\k\\i\,Amor_de_Gato_-_Frases
58,que,\u\,Amor_de_Gato_-_Frases
58,o,'\s\\E\\X\.\k\\a~\\w~\\pau\,Amor_de_Gato_-_Frases
58,"cercam,",'\n\\a~\\w~\,Amor_de_Gato_-_Frases
58,não,\s\\i\,Amor_de_Gato_-_Frases
58,se,\v\\a~\.\g\\l\\o\'\r\\i\,Amor_de_Gato_-_Frases
58,vanglorie.,,Amor_de_Gato_-_Frases
59,Você,\v\\o\'\s\\e\,Amor_de_Gato_-_Frases
