,level_1,grapheme,phoneme,filename
11,12,"Domingos,",\d\\o\'\m\\i~\.\g\\u\\s\\pau\,1808_-_Frases
11,12,no,\n\\u\,1808_-_Frases
11,12,Caribe,\k\\a\'\r\\i\.\b\\i\,1808_-_Frases
12,13,Wolfgang,'\w\\O\\w\.\f\\g\\a~\.\g\,1808_-_Frases
12,13,Amadeus,\a\.\m\\a\'\d\\e\.\u\\s\,1808_-_Frases
12,13,Mozart,'\m\\O\.\z\\a\\X\.\tS\,1808_-_Frases
12,13,morre,'\m\\O\.\R\\i\,1808_-_Frases
12,13,em,\e~j~\.\v\\i\.\e~\.\n\\a\\pau\,1808_-_Frases
12,13,"Viena,",\dZ\\i\,1808_-_Frases
12,13,de,\f\\E\.\b\\r\\i\\pau\,1808_-_Frases
12,13,"febre,",'\a\\w\\s\,1808_-_Frases
12,13,aos,\t\\r\\i~\.\t\\a\,1808_-_Frases
12,13,35,'\i\,1808_-_Frases
12,13,anos,\s\\i~\.\k\\u\,1808_-_Frases
12,13,,'\a~\.\n\\u\\s\,1808_-_Frases
13,14,1793,'\m\\i\\w\,1808_-_Frases
13,14,,'\t\\r\\e\\js\,1808_-_Frases
14,15,O,\u\,1808_-_Frases
14,15,rei,'\R\\ej\,1808_-_Frases
14,15,Luis,'\l\\u\\i\\s\,1808_-_Frases
14,15,XVI,\d\\e\.\z\\e\'\s\\ej\\z\,1808_-_Frases
14,15,rainha,'\R\\a\.\i~\.\J\\a\,1808_-_Frases
14,15,Maria,\m\\a\'\r\\i\.\a\,1808_-_Frases
14,15,Antonieta,\a~\.\t\\o\'\n\\i\.\E\.\t\\a\,1808_-_Frases
14,15,são,'\s\\a~\\w~\,1808_-_Frases
14,15,executados,\e\.\z\\e\.\k\\u\'\t\\a\.\d\\u\\s\,1808_-_Frases
14,15,"guilhotina,",\g\\i\.\L\\o\'\tS\\i~\.\n\\a\\pau\,1808_-_Frases
14,15,em,\e~j~\.\p\\a\.\r\\i\\js\,1808_-_Frases
14,15,Paris,,1808_-_Frases
15,16,1795,'\m\\i\\w\,1808_-_Frases
15,16,,'\s\\i~\.\k\\u\,1808_-_Frases
16,17,Aos,\a\\w\\s\,1808_-_Frases
16,17,25,'\v\\i~\.\tS\\i\,1808_-_Frases
16,17,"anos,",\i\,1808_-_Frases
16,17,Napoleão,'\s\\i~\.\k\\u\,1808_-_Frases
16,17,Bonaparte,\a~\.\n\\u\\s\\pau\,1808_-_Frases
16,17,derrota,\n\\a\.\p\\o\'\l\\e\.\a~\\w~\,1808_-_Frases
16,17,as,\b\\o\.\n\\a\'\p\\a\\X\.\tS\\i\,1808_-_Frases
16,17,tropas,\d\\e\'\R\\O\.\t\\a\,1808_-_Frases
16,17,austríacas,\a\\js\,1808_-_Frases
16,17,na,'\t\\r\\O\.\p\\a\\js\,1808_-_Frases
16,17,Itália,\a\\u\\s\'\t\\r\\i\\a\.\k\\a\\js\,1808_-_Frases
16,17,,\n\\a\,1808_-_Frases
16,17,,\i\'\t\\a\.\l\\i\\a\,1808_-_Frases
17,18,1797,'\m\\i\\w\,1808_-_Frases
17,18,,'\s\\E\.\tS\\i\,1808_-_Frases
18,19,físico,'\f\\i\\s\\i\.\k\\u\,1808_-_Frases
18,19,francês,\f\\r\\a~\'\s\\e\\js\,1808_-_Frases
18,19,André,\a~\'\d\\r\\E\\Z\\a\\k\.\k\\i\\s\,1808_-_Frases
18,19,Jacques,'\g\\a\\R\.\n\\e\.\r\\i~\,1808_-_Frases
18,19,Garnerin,\d\\e\.\m\\o~\\s\'\t\\r\\a\,1808_-_Frases
18,19,demonstra,\u\,1808_-_Frases
18,19,o,\s\\e\\u\,1808_-_Frases
18,19,seu,'\i~\.\v\\e~\.\t\\u\\pau\,1808_-_Frases
18,19,"invento,",\u\,1808_-_Frases
18,19,o,\p\\a\.\r\\a\,1808_-_Frases
18,19,"pára-quedas,",'\k\\E\.\d\\a\\js\\pau\,1808_-_Frases
18,19,saltando,'\s\\a\\w\.\t\\a~\.\d\\u\,1808_-_Frases
18,19,balão,\b\\a\.\l\\a~\\w~\,1808_-_Frases
18,19,1000,\m\\i\\w\,1808_-_Frases
18,19,metros,'\m\\E\.\t\\r\\u\\s\,1808_-_Frases
18,19,de,'\dZ\\i\,1808_-_Frases
18,19,"altura,",\a\\w\.\t\\u\.\r\\a\\pau\,1808_-_Frases
18,19,em,\e~j~\'\p\\a\.\r\\i\\js\,1808_-_Frases
19,20,1798,'\m\\i\\w\,1808_-_Frases
20,21,As,\a\\js\,1808_-_Frases
20,21,tropas,'\t\\r\\O\.\p\\a\\js\,1808_-_Frases
20,21,conquistam,\k\\o~\'\k\\i\\s\.\t\\a~\\w~\,1808_-_Frases
20,21,Egito,\e\'\Z\\i\.\t\\u\,1808_-_Frases
21,22,1799,'\m\\i\\w\,1808_-_Frases
22,23,Médicos,'\m\\E\\dZ\\i\.\k\\u\\s\,1808_-_Frases
22,23,portugueses,\p\\o\\X\.\t\\u\'\g\\e\.\z\\i\\s\,1808_-_Frases
22,23,começam,\k\\o\'\m\\E\.\s\\a~\\w~\,1808_-_Frases
22,23,aplicar,\a\.\p\\l\\i\'\k\\a\\r\,1808_-_Frases
22,23,em,\e~j~\.\l\\i\\z\.\b\\o\\a\,1808_-_Frases
22,23,Lisboa,\a\,1808_-_Frases
22,23,a,\v\\a\.\s\\i~\.\n\\a\,1808_-_Frases
22,23,vacina,\k\\o~\'\t\\r\\a\,1808_-_Frases
22,23,contra,'\a\,1808_-_Frases
22,23,a,\v\\a\.\r\\i\\o\.\l\\a\\pau\,1808_-_Frases
22,23,"varíola,",\d\\e\\s\'\k\\o\.\b\\E\\X\.\t\\a\,1808_-_Frases
22,23,descoberta,\p\\e\.\l\\u\,1808_-_Frases
22,23,pelo,'\i~\.\g\\l\\e\\js\,1808_-_Frases
22,23,inglês,\e\\dZ\\w\\a\\R\'\dZ\,1808_-_Frases
22,23,Edward,\Z\\e~\\n\\e\\X\,1808_-_Frases
22,23,Jenner,,1808_-_Frases
23,24,1800,'\m\\i\\w\,1808_-_Frases
23,24,,\o\\j\.\t\\o\'\s\\e~\.\t\\u\\s\,1808_-_Frases
24,25,governo,\g\\o\'\v\\e\\R\.\n\\u\,1808_-_Frases
24,25,Estados,\e\\s\'\t\\a\.\d\\u\\z\,1808_-_Frases
24,25,Unidos,\u~\'\n\\i\.\d\\u\\z\,1808_-_Frases
24,25,é,\E\\t\\r\\a~\\s\.\f\\e\.\r\\i\.\d\\u\,1808_-_Frases
24,25,transferido,\p\\a\.\r\\a\,1808_-_Frases
24,25,para,'\a\,1808_-_Frases
24,25,a,\n\\O\.\v\\a\,1808_-_Frases
24,25,nova,'\k\\a\.\p\\i\.\t\\a\\w\\pau\,1808_-_Frases
24,25,"capital,",\w\\a\\S\\i~\.\g\\t\\o~\,1808_-_Frases
24,25,Washington,,1808_-_Frases
25,26,1801,'\m\\i\\w\,1808_-_Frases
26,27,eleito,\k\\o~\'\s\\u\\w\,1808_-_Frases
26,27,cônsul,'\p\\e\\X\.\p\\E\\t\\u\\u\,1808_-_Frases
26,27,perpétuo,\d\\a\,1808_-_Frases
26,27,da,\f\\r\\a~\.\s\\a\,1808_-_Frases
26,27,França.,,1808_-_Frases
27,28,"Espanha,",\e\\s\'\p\\a~\.\J\\a\\pau\,1808_-_Frases
27,28,sua,'\s\\u\.\a\,1808_-_Frases
27,28,"aliada,",\a\.\l\\i\'\a\.\d\\a\\pau\,1808_-_Frases
27,28,derrota,\d\\e\'\R\\O\.\t\\a\,1808_-_Frases
27,28,Guerra,'\g\\E\.\R\\a\,1808_-_Frases
27,28,das,\d\\a\\js\,1808_-_Frases
27,28,Laranjas,\l\\a\'\r\\a~\.\Z\\a\\js\,1808_-_Frases
28,29,1802,'\m\\i\\w\,1808_-_Frases
28,29,,'\d\\o\\j\\s\,1808_-_Frases
29,30,presidente,\p\\r\\e\.\z\\i\'\d\\e~\.\tS\\i\,1808_-_Frases
29,30,Thomas,'\t\\o~\.\m\\a\\js\,1808_-_Frases
29,30,Jefferson,\Z\\e\.\f\\f\\e\\X\'\s\\o~\,1808_-_Frases
29,30,compra,'\k\\o~\.\p\\r\\a\,1808_-_Frases
29,30,território,\t\\e\.\R\\i\'\t\\O\\r\\i\\u\,1808_-_Frases
29,30,Luisiana,\l\\u\\i\.\z\\i\'\a~\.\n\\a\,1808_-_Frases
29,30,dobra,'\d\\O\.\b\\r\\a\,1808_-_Frases
29,30,tamanho,\t\\a\'\m\\a~\.\J\\u\,1808_-_Frases
29,30,Unidos,\u~\'\n\\i\.\d\\u\\s\,1808_-_Frases
30,31,1803,'\m\\i\\w\,1808_-_Frases
31,32,Na,\n\\a\,1808_-_Frases
31,32,catedral,\k\\a\.\t\\e\'\d\\r\\a\\w\,1808_-_Frases
31,32,Notre,'\n\\O\.\t\\r\\i\,1808_-_Frases
31,32,"Dame,",'\d\\a~\.\m\\i\\pau\,1808_-_Frases
31,32,coroa,\k\\o\'\r\\o\\a\,1808_-_Frases
31,32,si,\s\\i\,1808_-_Frases
31,32,mesmo,'\m\\e\\z\.\m\\u\,1808_-_Frases
31,32,imperador,\i~\.\p\\e\.\r\\a\'\d\\o\\R\,1808_-_Frases
32,33,médico,'\m\\E\\dZ\\i\.\k\\u\,1808_-_Frases
32,33,japonês,\Z\\a\.\p\\o\'\n\\e\\js\,1808_-_Frases
32,33,Hanaoka,\a\.\n\\a\'\w\.\k\\a\,1808_-_Frases
32,33,Seishu,\s\\e\\j\\S\\u\,1808_-_Frases
32,33,faz,'\f\\a\\z\,1808_-_Frases
32,33,primeira,\p\\r\\i~\'\m\\ej\.\r\\a\,1808_-_Frases
32,33,cirurgia,\s\\i\.\r\\u\\R\'\Z\\i\.\a\,1808_-_Frases
32,33,com,\k\\o~\,1808_-_Frases
32,33,uso,'\u\.\z\\u\,1808_-_Frases
32,33,anestesia,\a\.\n\\e\\s\.\t\\e\'\z\\i\.\a\,1808_-_Frases
32,33,para,'\p\\a\.\r\\a\,1808_-_Frases
32,33,extirpar,\e\\s\.\tS\\i\\X\'\p\\a\\r\,1808_-_Frases
32,33,câncer,'\k\\a~\.\s\\e\\R\,1808_-_Frases
32,33,seio,'\s\\ej\.\u\,1808_-_Frases
32,33,própria,'\p\\r\\O\\p\\r\\i\\a\,1808_-_Frases
32,33,mulher,\m\\u\'\L\\e\\X\,1808_-_Frases
33,34,1805,'\m\\i\\w\,1808_-_Frases
34,35,Sob,\s\\o\\b\,1808_-_Frases
34,35,comando,\k\\o\'\m\\a~\.\d\\u\,1808_-_Frases
34,35,Lord,\l\\o\\R\.\dZ\,1808_-_Frases
34,35,"Nelson,",\n\\e\\w\'\s\\o~\\pau\,1808_-_Frases
34,35,Marinha,\m\\a\'\r\\i~\.\J\\a\,1808_-_Frases
34,35,britânica,\b\\r\\i\'\t\\a~\.\n\\i\.\k\\a\,1808_-_Frases
34,35,Espanha,\e\\s\'\p\\a~\.\J\\a\,1808_-_Frases
34,35,Batalha,\b\\a\'\t\\a\.\L\\a\,1808_-_Frases
34,35,Trafalgar,\t\\r\\a\.\f\\a\\w\'\g\\a\\r\,1808_-_Frases
34,35,assume,\a\'\s\\u~\.\m\\i\,1808_-_Frases
34,35,controle,\k\\o~\'\t\\r\\o\\l\\i\,1808_-_Frases
34,35,absoluto,\a\\b\.\s\\o\'\l\\u\.\t\\u\,1808_-_Frases
34,35,oceanos,\o\.\s\\e\'\a~\.\n\\u\\s\,1808_-_Frases
35,36,Em,\e~j~\.\a\\u\\s\.\t\\e\\R\.\l\\i\\tS\.\s\\pau\,1808_-_Frases
35,36,"Austerlitz,",\n\\a\.\p\\o\.\l\\e\.\a~\\w~\,1808_-_Frases
35,36,Napoleão,\m\\a\.\s\\a\.\k\\r\\a\,1808_-_Frases
35,36,massacra,\a\\js\,1808_-_Frases
35,36,as,\t\\r\\O\.\p\\a\\js\,1808_-_Frases
35,36,tropas,'\a\.\l\\i\.\a\.\d\\a\\js\,1808_-_Frases
35,36,aliadas,\d\\a\,1808_-_Frases
35,36,da,\R\\u\\s\\i\\a\,1808_-_Frases
35,36,Rússia,'\i\,1808_-_Frases
35,36,e,\d\\a\,1808_-_Frases
35,36,da,\a\\u\\s\.\t\\r\\i\\a\,1808_-_Frases
35,36,Áustria,,1808_-_Frases
36,37,1806,'\m\\i\\w\,1808_-_Frases
36,37,,'\s\\ej\\s\,1808_-_Frases
37,38,Inglaterra,\i~\.\g\\l\\a\'\t\\E\.\R\\a\,1808_-_Frases
37,38,proíbe,\p\\r\\o\'\i\\b\\i\,1808_-_Frases
37,38,tráfico,'\t\\r\\a\.\f\\i\.\k\\u\,1808_-_Frases
37,38,escravos,\e\\s\'\k\\r\\a\.\v\\u\\z\,1808_-_Frases
37,38,em,\e~j~\.\t\\O\.\d\\u\\z\,1808_-_Frases
37,38,todos,'\u\\s\,1808_-_Frases
37,38,os,\s\\e\.\u\\s\,1808_-_Frases
37,38,seus,'\d\\o\.\m\\i\\n\\i\\u\\s\,1808_-_Frases
37,38,domínios,,1808_-_Frases
38,39,1807,'\m\\i\\w\,1808_-_Frases
39,40,declara,\d\\e\'\k\\l\\a\.\r\\a\,1808_-_Frases
39,40,bloqueio,\b\\l\\o\'\k\\ej\.\u\,1808_-_Frases
39,40,continental,\k\\o~\.\tS\\i~\.\n\\e~\'\t\\a\\w\,1808_-_Frases
39,40,Europa,\e\\u\'\r\\O\.\p\\a\,1808_-_Frases
39,40,contra,'\k\\o~\.\t\\r\\a\,1808_-_Frases
39,40,invade,\i~\'\v\\a\.\dZ\\i\,1808_-_Frases
39,40,Portugal.,\p\\o\\X\.\t\\u\'\g\\a\\w\,1808_-_Frases
40,41,foge,'\f\\O\.\Z\\i\,1808_-_Frases
41,42,Richard,'\R\\i\.\S\\a\\R\.\dZ\,1808_-_Frases
41,42,"Trevithick,",\t\\r\\e\'\v\\i\\t\\i\\k\.\k\\pau\,1808_-_Frases
41,42,inventor,\i~\.\v\\e~\'\t\\o\\R\,1808_-_Frases
41,42,locomotiva,\l\\o\.\k\\o\.\m\\o\'\tS\\i\.\v\\a\,1808_-_Frases
41,42,"vapor,",\v\\a\'\p\\o\\X\\pau\,1808_-_Frases
41,42,demonstra,\d\\e\'\m\\o~\\s\.\t\\r\\a\,1808_-_Frases
41,42,máquina,'\m\\a\.\k\\i~\.\n\\a\,1808_-_Frases
41,42,em,\e~j~\.\l\\o~\.\d\\r\\i\\s\,1808_-_Frases
41,42,Londres,,1808_-_Frases
43,44,D.,\k\\i~\'\J\\e~\.\t\\u\\s\\pau\,1808_-_Frases
43,44,João,\Z\\o\'\a~\\w~\,1808_-_Frases
43,44,chegam,'\S\\E\.\g\\a~\\w~\,1808_-_Frases
43,44,Brasil.,\b\\r\\a\'\z\\i\\w\,1808_-_Frases
44,45,Forças,'\f\\O\\X\.\s\\a\\js\,1808_-_Frases
44,45,britânicas,\b\\r\\i\'\t\\a~\.\n\\i\.\k\\a\\js\,1808_-_Frases
44,45,portuguesas,\p\\o\\X\.\t\\u\'\g\\e\.\z\\a\\js\,1808_-_Frases
44,45,derrotam,\d\\e\'\R\\O\.\t\\a~\\w~\,1808_-_Frases
44,45,Vimeiro,\v\\i~\'\m\\ej\.\r\\u\,1808_-_Frases
45,46,Goethe,\g\\o\'\E\.\tS\\i\,1808_-_Frases
45,46,publica,\p\\u\'\b\\l\\i\.\k\\a\,1808_-_Frases
45,46,Alemanha,\a\.\l\\e\'\m\\a~\.\J\\a\,1808_-_Frases
45,46,parte,'\p\\a\\X\.\tS\\i\,1808_-_Frases
45,46,"obra-prima,",'\O\.\b\\r\\a\,1808_-_Frases
45,46,Fausto,'\p\\r\\i~\.\m\\a\\pau\,1808_-_Frases
45,46,,'\f\\a\\u\\s\.\t\\u\,1808_-_Frases
46,47,Ludwig,'\l\\u\\dZ\.\w\\i\\g\,1808_-_Frases
46,47,Von,'\v\\o~\,1808_-_Frases
46,47,Beethoven,\b\\e\.\e\.\t\\o\'\v\\e~\,1808_-_Frases
46,47,"faz,",'\f\\a\\js\\pau\,1808_-_Frases
46,47,Teatro,\t\\e\'\a\.\t\\r\\u\,1808_-_Frases
46,47,"Viena,",\v\\i\'\e~\.\n\\a\\pau\,1808_-_Frases
46,47,apresentação,\a\.\p\\r\\e\.\z\\e~\.\t\\a\'\s\\a~\\w~\,1808_-_Frases
46,47,Quinta,'\k\\i~\.\t\\a\,1808_-_Frases
46,47,sinfonia,\s\\i~\.\f\\o\'\n\\i\.\a\,1808_-_Frases
47,48,1809,'\m\\i\\w\,1808_-_Frases
48,49,Robert,'\R\\O\.\b\\e\\X\.\tS\,1808_-_Frases
48,49,Fulton,\f\\u\\w\'\t\\o~\,1808_-_Frases
48,49,patenteia,\p\\a\.\t\\e~\'\t\\ej\.\a\,1808_-_Frases
48,49,nos,\n\\u\\z\,1808_-_Frases
48,49,barco,'\b\\a\\X\.\k\\u\,1808_-_Frases
48,49,movido,\m\\o\'\v\\i\.\d\\u\,1808_-_Frases
48,49,vapor,\v\\a\'\p\\o\\X\,1808_-_Frases
49,50,1811,'\m\\i\\w\,1808_-_Frases
49,50,,'\o~\.\z\\i\,1808_-_Frases
50,51,Os,\u\\z\,1808_-_Frases
50,51,irmãos,\i\\R\'\m\\a~\\w~\\s\,1808_-_Frases
50,51,Grimm,\g\\r\\i~\\m\,1808_-_Frases
50,51,publicam,\p\\u\'\b\\l\\i\.\k\\a~\\w~\,1808_-_Frases
50,51,seu,'\s\\e\\u\,1808_-_Frases
50,51,primeiro,\p\\r\\i~\'\m\\ej\.\r\\u\,1808_-_Frases
50,51,livro,'\l\\i\.\v\\r\\u\,1808_-_Frases
50,51,contos,'\k\\o~\.\t\\u\\s\,1808_-_Frases
50,51,fadas,'\f\\a\.\d\\a\\js\,1808_-_Frases
51,52,1812,'\m\\i\\w\,1808_-_Frases
51,52,,'\d\\o\.\z\\i\,1808_-_Frases
52,53,fracassa,\f\\r\\a\'\k\\a\.\s\\a\,1808_-_Frases
52,53,tentar,\t\\e~\'\t\\a\\r\,1808_-_Frases
52,53,invadir,\i~\.\v\\a\'\dZ\\i\\r\,1808_-_Frases
52,53,Rússia.,'\R\\u\\s\\i\\a\,1808_-_Frases
53,54,ingleses,\i~\'\g\\l\\e\.\z\\i\\s\,1808_-_Frases
53,54,capturam,\k\\a\\p\'\t\\u\.\r\\a~\\w~\,1808_-_Frases
53,54,Madri,\m\\a\'\d\\r\\i\,1808_-_Frases
54,55,1813,'\m\\i\\w\,1808_-_Frases
54,55,,'\t\\r\\e\.\z\\i\,1808_-_Frases
55,56,Tropas,'\t\\r\\O\.\p\\a\\js\,1808_-_Frases
55,56,aliadas,\a\.\l\\i\'\a\.\d\\a\\js\,1808_-_Frases
55,56,Leipzig,'\l\\ej\.\p\\z\\i\\g\,1808_-_Frases
56,57,1814,'\m\\i\\w\,1808_-_Frases
56,57,,\k\\w\\a\'\t\\O\\R\.\z\\i\,1808_-_Frases
57,58,"Donatien-Alphonse-François,",\d\\o\.\n\\a\.\tS\\i\'\e~\,1808_-_Frases
57,58,o,\a\\w\'\f\\o~\.\s\\i\,1808_-_Frases
57,58,marquês,\f\\r\\a~\'\s\\o\\j\\s\\pau\,1808_-_Frases
57,58,de,\u\,1808_-_Frases
57,58,"Sade,",\m\\a\\X\'\k\\e\\js\,1808_-_Frases
57,58,morre,\dZ\\i\,1808_-_Frases
57,58,aos,'\s\\a\.\dZ\\i\\pau\,1808_-_Frases
57,58,74,'\m\\O\.\R\\i\,1808_-_Frases
57,58,anos,\a\\w\\s\,1808_-_Frases
57,58,no,\s\\e\'\t\\e~\.\t\\a\,1808_-_Frases
57,58,asilo,\i\,1808_-_Frases
57,58,de,'\k\\w\\a\.\t\\r\\u\,1808_-_Frases
57,58,"Charenton,",\a~\.\n\\u\\s\,1808_-_Frases
57,58,na,\n\\u\,1808_-_Frases
57,58,França,\a\'\z\\i\.\l\\u\,1808_-_Frases
57,58,,\dZ\\i\,1808_-_Frases
57,58,,\S\\a\.\r\\e~\'\t\\o~\\pau\,1808_-_Frases
57,58,,'\f\\r\\a~\.\s\\a\,1808_-_Frases
58,59,México,'\m\\E\\S\\i\.\k\\u\,1808_-_Frases
58,59,independência,\i~\.\d\\e\.\p\\e~\'\d\\e~\.\s\\i\\a\,1808_-_Frases
58,59,Espanha.,\e\\s\'\p\\a~\.\J\\a\,1808_-_Frases
59,60,Libertador,\l\\i\.\b\\e\\X\.\t\\a\'\d\\o\\X\,1808_-_Frases
59,60,Simon,\s\\i~\'\m\\o~\,1808_-_Frases
59,60,Bolívar,\b\\o\'\l\\i\\v\\a\\r\,1808_-_Frases
59,60,ocupa,\o\'\k\\u\.\p\\a\,1808_-_Frases
59,60,"Caracas,",\k\\a\'\r\\a\.\k\\a\\js\\pau\,1808_-_Frases
59,60,capital,\k\\a\.\p\\i\'\t\\a\\w\,1808_-_Frases
59,60,Venezuela,\v\\e\.\n\\e\.\z\\u\'\E\.\l\\a\,1808_-_Frases
60,61,1815,'\m\\i\\w\,1808_-_Frases
60,61,,'\k\\i~\.\z\\i\,1808_-_Frases
61,62,"britânicas,",\b\\r\\i\'\t\\a~\.\n\\i\.\k\\a\\js\\pau\,1808_-_Frases
61,62,sob,\s\\o\\b\,1808_-_Frases
61,62,duque,'\d\\u\.\k\\i\,1808_-_Frases
61,62,"Wellington,",\w\\e\.\w\\l\\i~\'\g\\t\\o~\\pau\,1808_-_Frases
61,62,Waterloo,\w\\a\.\t\\e\\R\'\l\\O\.\u\,1808_-_Frases
